Género ;Edad;¿Qué come por lo general?;cambiaria su alimentacion por;¿cuanto es su gasto semanal? Rangos de 25;;;sumatoria;caminos 
Femenino;21;Carne;frutas;100;;;1;carne a carne 
Femenino;42;Carne;Pescado;75;;;3;carne a verduras
Femenino;21;Carne;Verduras;75;;;4;carne a frutas
Femenino;32;Verduras;Carne;50;;;2;carne a pescado
Masculino;34;Carne;frutas;75;;;6;verduras a carne 
Femenino;35;Verduras;Verduras;100;;;2;verduras a verduras
Femenino;39;Verduras;Verduras;50;;;0;verduras a frutas
Femenino;23;Verduras;Carne;50;;;1;verduras a pescado
Femenino;54;Carne;Carne;125;;;1;frutas a carne 
Femenino;46;Frutas;Verduras;100;;;4;frutas a verduras
Femenino;33;Pescado;frutas;75;;;1;frutas a frutas
Masculino;20;Verduras;Carne;50;;;1;frutas a pescado
Femenino;21;Verduras;Pescado;75;;;1;pescado a carne
Masculino;22;Frutas;frutas;50;;;1;pescado a verduras
Femenino;20;Verduras;Carne;50;;;2;pescado a frutas
Masculino;25;Carne;Pescado;50;;;0;pescado a pescado
Femenino;19;Pescado;Carne;125;;;30;
Femenino;18;Frutas;Verduras;75;;;;
Masculino;35;Carne;Verduras;75;;;;
Masculino;21;Carne;Verduras;100;;;;
Femenino;54;Frutas;Verduras;75;;;;
Femenino;23;Pescado;frutas;125;;;;
Femenino;39;Frutas;Carne;50;;;;
Femenino;39;Frutas;Verduras;50;;;;
Femenino;36;Frutas;Pescado;75;;;;
Masculino;23;Carne;frutas;75;;;;
Masculino;20;Pescado;Verduras;50;;;;
Femenino;16;Verduras;Carne;125;;;;
Masculino;20;Carne;frutas;100;;;;
femenino;30;Verduras;Carne;100;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
